urban,homeowner,age,high,college,graduate,gender,efficacy,socialcapital,salience,experience,children,trustinlocal,white,performance,income,willingness,protective
0,1,23,1,1,0,1,9,5,5,0,2,6,0,1,2,1,1
0,0,18,1,0,0,1,1,2,0,0,1,5,0,2,2,0,1
0,1,42,1,1,0,0,3,5,6,0,0,8,0,2,1,1,
1,0,26,1,1,0,0,0,4,3,1,0,4,0,3,1,1,1
0,1,56,1,1,0,1,7,5,0,0,0,0,1,3,3,0,
1,0,52,1,0,0,0,0,4,5,0,0,6,0,2,1,1,1
1,0,27,1,1,0,0,5,3,1,0,0,7,0,2,1,1,
1,1,55,1,0,0,0,4,4,3,0,4,5,0,3,2,1,0
1,1,52,1,0,0,0,0,4,3,0,3,3,0,3,2,1,
1,0,39,1,0,0,0,5,3,4,0,0,7,0,2,1,1,1
1,0,22,1,1,0,0,4,3,5,0,0,5,0,1,1,1,0
0,1,43,1,1,0,0,7,7,8,0,0,4,0,3,3,0,0
1,0,56,1,1,0,1,2,4,5,0,0,9,0,3,1,1,1
1,0,28,1,0,0,1,7,4,5,0,1,0,1,3,1,1,0
0,0,37,1,1,0,0,3,4,4,0,2,5,1,3,2,0,0
1,0,33,1,1,0,0,3,4,3,0,1,4,0,3,1,1,1
0,0,74,1,0,0,0,8,3,4,0,0,4,1,3,1,1,
0,0,27,1,1,0,0,9,5,1,0,1,4,1,1,,1,
0,0,21,1,0,0,1,6,7,8,0,0,10,0,1,4,0,1
,0,26,0,0,0,0,5,4,0,0,1,3,1,1,1,1,
1,0,53,1,0,0,1,0,5,5,0,0,6,0,1,1,1,
0,0,34,1,1,0,0,1,5,1,0,4,6,0,3,1,1,0
1,0,27,1,0,0,0,10,4,8,0,2,5,0,3,1,1,0
1,0,29,1,0,0,0,0,2,1,0,0,7,0,1,2,1,1
1,0,19,1,0,0,0,7,4,4,0,0,5,0,1,1,1,
1,0,47,1,1,0,0,9,3,4,0,1,5,0,2,1,1,0
1,0,19,1,0,0,1,0,3,0,0,0,7,0,1,1,1,1
0,0,18,1,0,0,0,6,4,3,0,3,5,0,1,4,1,1
1,1,50,1,1,0,1,2,2,5,0,0,7,0,3,2,1,1
0,0,21,1,0,0,1,5,2,1,0,0,6,0,3,2,0,0
1,0,19,1,0,0,0,0,5,0,0,0,10,0,1,1,1,1
1,0,20,0,0,0,0,7,2,2,0,0,3,1,3,1,1,
0,0,23,1,0,0,1,8,4,5,1,1,7,0,2,1,1,1
0,1,25,1,0,0,1,0,7,4,0,0,6,0,3,1,0,0
1,1,22,1,0,0,0,8,3,5,0,1,0,0,2,1,1,0
0,1,35,1,0,0,1,6,5,6,1,0,9,0,2,1,1,1
1,0,43,1,0,0,0,0,5,0,0,4,10,0,3,1,1,1
1,0,65,1,1,0,0,6,5,4,0,0,4,1,3,2,1,0
1,1,68,1,0,0,0,0,3,6,0,2,4,1,3,1,1,
0,0,69,1,0,0,0,9,4,1,0,0,5,0,3,1,1,
0,0,54,1,0,0,1,1,4,6,1,3,7,1,1,2,1,1
0,1,21,1,0,0,0,1,4,1,0,0,2,0,3,2,1,0
1,0,23,1,0,0,0,7,3,1,0,0,5,0,1,2,1,0
1,0,58,1,0,0,0,0,5,4,0,0,5,0,3,1,1,
1,1,41,1,1,0,0,0,5,5,0,4,8,0,3,3,1,1
1,0,56,0,0,0,1,4,4,3,0,0,5,0,3,1,1,1
0,0,57,1,0,0,1,4,4,5,0,0,6,0,2,1,1,0
0,0,22,1,0,0,0,6,6,2,0,0,7,0,2,2,1,
0,1,44,1,1,0,1,9,7,0,0,2,6,0,1,1,1,1
0,0,24,1,1,0,0,1,3,7,1,0,8,0,2,1,1,1
1,0,26,1,1,1,0,2,3,5,0,0,7,0,3,1,1,1
0,1,46,1,1,0,0,8,4,5,0,1,5,0,1,2,1,1
1,0,45,1,0,0,0,3,3,4,0,2,6,0,1,1,1,
0,1,56,1,1,1,1,1,4,6,0,0,2,0,2,3,1,0
0,1,30,1,0,0,0,6,3,3,0,1,6,0,3,1,1,0
1,0,39,1,0,0,0,4,3,1,0,0,4,1,3,1,0,0
0,1,50,1,0,0,0,9,3,3,0,0,5,0,3,1,1,
1,0,42,1,0,0,1,10,4,0,0,1,9,0,1,1,1,1
1,0,42,1,0,0,0,2,5,4,0,3,0,0,2,,1,1
1,0,40,1,1,0,1,1,4,5,0,0,5,0,3,1,1,
1,0,38,1,0,0,0,1,3,3,0,2,5,0,1,2,1,0
0,1,33,1,0,0,0,3,4,5,0,2,3,1,2,1,1,0
1,0,40,1,1,0,0,2,3,2,0,1,3,0,2,1,1,1
1,0,36,1,0,0,0,1,4,0,0,0,2,0,3,2,1,0
1,0,51,1,1,0,1,3,5,5,0,0,5,0,2,,1,1
1,0,50,1,0,0,0,0,4,8,0,1,10,0,3,2,1,1
1,1,61,1,0,0,0,9,4,6,0,0,2,1,3,2,1,
1,0,19,1,0,0,0,2,3,0,0,0,6,1,1,1,1,
1,0,55,1,0,0,0,7,4,1,0,0,3,1,2,1,1,0
0,1,58,1,0,0,0,8,4,5,1,0,1,1,3,1,0,
0,0,24,1,1,0,0,8,3,0,0,2,5,0,3,1,1,0
1,0,33,1,1,0,1,3,5,4,0,2,6,0,2,2,1,0
1,0,36,1,1,0,0,2,3,5,0,0,5,1,1,1,1,1
0,0,32,1,0,0,0,10,7,7,1,2,9,0,1,2,1,1
0,1,68,1,0,0,1,8,3,4,0,0,4,1,2,1,0,0
1,1,54,1,1,0,1,10,5,6,0,0,6,1,3,1,0,0
0,0,51,0,0,0,0,8,4,5,0,1,3,1,2,2,1,
1,1,52,1,1,0,0,6,4,5,0,0,3,0,2,2,1,
1,0,29,0,0,0,0,1,2,1,0,2,6,0,2,1,1,
1,0,60,1,0,0,0,4,2,1,0,0,2,1,2,1,1,
0,0,20,1,0,0,1,6,3,2,0,0,5,1,3,1,0,1
0,1,41,1,1,0,0,7,3,3,0,0,7,1,3,2,1,
0,0,27,1,1,0,0,2,4,5,0,2,1,1,1,3,1,1
0,0,24,1,1,0,1,1,4,6,0,0,5,0,1,1,1,0
1,1,26,1,1,0,1,2,5,3,0,1,6,0,2,1,1,0
0,0,18,0,0,0,0,2,4,3,0,2,8,0,3,3,1,1
0,1,40,1,1,1,0,3,4,5,0,2,5,1,3,3,1,1
0,0,20,1,0,0,0,3,4,3,0,0,1,0,2,2,1,0
1,1,23,1,1,0,0,7,3,2,0,0,5,1,2,1,1,
,1,73,1,1,0,1,10,5,5,0,0,5,1,3,1,1,0
1,0,22,1,0,0,0,5,4,4,1,0,4,1,3,3,1,1
0,0,67,1,0,0,0,9,5,6,0,0,4,1,2,1,1,
1,1,43,1,0,0,0,7,4,4,1,1,4,0,2,1,1,1
0,1,51,1,1,0,0,1,3,2,0,0,6,1,3,1,1,
1,1,75,1,0,0,0,9,5,4,0,0,5,1,2,2,1,
1,1,28,1,0,0,1,5,4,1,0,0,0,0,2,1,1,0
1,1,40,1,1,0,0,2,3,4,0,1,6,1,2,1,1,
0,1,51,1,0,0,0,3,4,5,0,0,8,0,2,2,1,1
0,0,49,1,0,0,0,5,3,6,0,0,3,1,2,1,1,1
0,0,53,1,0,0,0,4,3,5,0,0,0,0,3,1,1,1
0,0,51,0,0,0,0,8,3,1,0,0,6,1,3,1,1,
0,0,45,1,0,0,0,2,3,6,0,2,0,1,3,1,1,1
0,0,48,1,1,0,0,0,4,5,0,0,8,1,1,3,1,1
0,0,75,1,1,0,1,9,3,0,0,0,1,1,3,1,1,
0,0,29,1,0,0,1,5,5,3,0,0,5,1,3,1,0,
0,1,40,1,1,0,1,5,5,8,0,1,8,0,3,1,1,
0,1,71,1,0,0,0,0,5,0,0,1,4,0,3,1,1,
1,0,46,0,0,0,1,2,3,4,0,0,5,1,2,1,1,
1,1,31,1,1,0,0,2,4,2,0,1,3,0,2,2,1,1
0,1,35,0,0,0,0,7,4,4,0,3,5,0,1,1,1,0
0,1,36,1,0,0,0,1,4,4,1,0,6,1,2,1,0,1
1,0,42,1,0,0,0,5,3,4,0,0,7,0,3,1,1,
0,1,34,1,1,1,0,4,3,6,0,0,4,1,1,2,0,0
0,1,36,1,1,0,0,8,4,4,0,1,7,1,3,2,1,
0,1,41,1,0,0,0,1,4,5,1,0,2,0,2,1,0,0
0,0,67,1,0,0,0,8,4,3,0,0,1,1,2,1,1,
0,0,20,1,0,0,0,0,5,0,0,0,8,1,1,1,1,0
0,1,46,1,0,0,0,8,4,3,1,0,4,1,2,2,1,1
0,1,56,1,1,0,0,1,5,6,0,0,7,1,3,1,0,0
